time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0.53,0,-6.78000267040346e-10,1.03877379331041e-05,0,4.02414607042457e-06,0,0,-1.09026198810514e-08,8.04929632833658e-05,0,3.11825546490547e-05,0,0.026
0.54,0,-7.87026444015737e-10,1.11926675658292e-05,0,4.33597161691512e-06,0,0,-1.24054793749422e-08,8.50739244407379e-05,0,3.2957206685937e-05,0,0.026
0.55,0,-9.11081210475118e-10,1.20434068102138e-05,0,4.66554368377449e-06,0,0,-1.4082225573007e-08,8.98245198073953e-05,0,3.47975761157952e-05,0,0.026
0.56,0,-1.05190345323081e-09,1.29416520082137e-05,0,5.01351944493244e-06,0,0,-1.59493131381196e-08,9.47477490210288e-05,0,3.67048251942436e-05,0,0.026
0.57,0,-1.21139659414737e-09,1.38891294984567e-05,0,5.38056769687488e-06,0,0,-1.80243182042756e-08,9.98466058780972e-05,0,3.86801139301571e-05,0,0.026
0.58,0,-1.39163980339418e-09,1.48875955571781e-05,0,5.76736883617645e-06,0,0,-2.03261935299447e-08,0.000105124078724633,0,4.07246002379398e-05,0,0.026
0.59,0,-1.59490176621091e-09,1.59388363444868e-05,0,6.17461483855584e-06,0,0,-2.28751012334087e-08,0.000110583149902288,0,4.28394397238288e-05,0,0.026
0.6,0,-1.82365278433849e-09,1.70446678435243e-05,0,6.60300923579413e-06,0,0,-2.56927560196472e-08,0.000116226796213298,0,4.50257858669538e-05,0,0.026
0.61,0,-2.08058031914149e-09,1.82069358056203e-05,0,7.05326709446367e-06,0,0,-2.88022349118279e-08,0.000122057988462321,0,4.72847898428103e-05,0,0.026
0.62,0,-2.36860264735128e-09,1.94275156903401e-05,0,7.52611499289177e-06,0,0,-3.22282530486467e-08,0.000128079691618982,0,4.96176005872259e-05,0,0.026
0.63,0,-2.69088518134453e-09,2.07083126064211e-05,0,8.02229099876403e-06,0,0,-3.59971058785194e-08,0.00013429486473742,0,5.20253647662215e-05,0,0.026
0.64,0,-3.05085623431012e-09,2.20512612538193e-05,0,8.54254464642625e-06,0,0,-4.01368108646986e-08,0.000140706460893249,0,5.45092267526494e-05,0,0.026
0.65,0,-3.45222433972836e-09,2.34583258626464e-05,0,9.08763691395274e-06,0,0,-4.46772043467568e-08,0.000147317427194987,0,5.70703286317142e-05,0,0.026
