time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d
1.006,0,0,0,0,0.332785207715981,0,0,0,0,0,0.132400734935079,0
1.007,0,0,0,0,0.332917345659436,0,0,0,0,0,0.131875117197861,0
1.008,0,0,0,0,0.333048957880961,0,0,0,0,0,0.131349291211834,0
1.009,0,0,0,0,0.333180044172721,0,0,0,0,0,0.130823257807346,0
1.01,0,0,0,0,0.333310604327713,0,0,0,0,0,0.130297017815078,0
1.011,0,0,0,0,0.333440638139765,0,0,0,0,0,0.129770572066033,0
1.012,0,0,0,0,0.333570145403536,0,0,0,0,0,0.129243921391542,0
1.013,0,0,0,0,0.333699125914517,0,0,0,0,0,0.128717066623258,0
1.014,0,0,0,0,0.333827579469029,0,0,0,0,0,0.128190008593156,0
1.015,0,0,0,0,0.333955505864227,0,0,0,0,0,0.127662748133533,0
1.016,0,0,0,0,0.334082904898097,0,0,0,0,0,0.127135286077005,0
1.017,0,0,0,0,0.334209776369459,0,0,0,0,0,0.126607623256507,0
1.018,0,0,0,0,0.334336120077967,0,0,0,0,0,0.12607976050529,0
1.019,0,0,0,0,0.334461935824104,0,0,0,0,0,0.125551698656923,0
1.02,0,0,0,0,0.334587223409193,0,0,0,0,0,0.125023438545285,0
1.021,0,0,0,0,0.334711982635385,0,0,0,0,0,0.124494981004573,0
1.022,0,0,0,0,0.33483621330567,0,0,0,0,0,0.123966326869293,0
1.023,0,0,0,0,0.334959915223871,0,0,0,0,0,0.123437476974262,0
1.024,0,0,0,0,0.335083088194644,0,0,0,0,0,0.122908432154606,0
1.025,0,0,0,0,0.335205732023483,0,0,0,0,0,0.122379193245759,0
1.026,0,0,0,0,0.335327846516718,0,0,0,0,0,0.121849761083461,0
1.027,0,0,0,0,0.335449431481511,0,0,0,0,0,0.121320136503759,0
1.028,0,0,0,0,0.335570486725865,0,0,0,0,0,0.120790320343001,0
1.029,0,0,0,0,0.335691012058616,0,0,0,0,0,0.12026031343784,0
1.03,0,0,0,0,0.335811007289438,0,0,0,0,0,0.119730116625229,0
1.031,0,0,0,0,0.335930472228843,0,0,0,0,0,0.119199730742421,0
1.032,0,0,0,0,0.336049406688179,0,0,0,0,0,0.118669156626968,0
1.033,0,0,0,0,0.336167810479632,0,0,0,0,0,0.118138395116719,0
1.034,0,0,0,0,0.336285683416226,0,0,0,0,0,0.117607447049818,0
1.035,0,0,0,0,0.336403025311825,0,0,0,0,0,0.117076313264706,0
1.036,0,0,0,0,0.336519835981129,0,0,0,0,0,0.116544994600114,0
1.037,0,0,0,0,0.336636115239679,0,0,0,0,0,0.116013491895068,0
1.038,0,0,0,0,0.336751862903852,0,0,0,0,0,0.115481805988883,0
1.039,0,0,0,0,0.336867078790869,0,0,0,0,0,0.114949937721164,0
1.04,0,0,0,0,0.336981762718788,0,0,0,0,0,0.114417887931802,0
1.041,0,0,0,0,0.337095914506506,0,0,0,0,0,0.113885657460978,0
1.042,0,0,0,0,0.337209533973763,0,0,0,0,0,0.113353247149155,0
1.043,0,0,0,0,0.337322620941137,0,0,0,0,0,0.112820657837084,0
1.044,0,0,0,0,0.33743517523005,0,0,0,0,0,0.112287890365793,0
1.045,0,0,0,0,0.337547196662763,0,0,0,0,0,0.111754945576597,0
1.046,0,0,0,0,0.337658685062378,0,0,0,0,0,0.111221824311088,0
1.047,0,0,0,0,0.33776964025284,0,0,0,0,0,0.110688527411137,0
1.048,0,0,0,0,0.337880062058936,0,0,0,0,0,0.110155055718892,0
1.049,0,0,0,0,0.337989950306295,0,0,0,0,0,0.109621410076779,0
1.05,0,0,0,0,0.338099304821387,0,0,0,0,0,0.109087591327496,0
1.051,0,0,0,0,0.338208125431528,0,0,0,0,0,0.108553600314017,0
1.052,0,0,0,0,0.338316411964875,0,0,0,0,0,0.108019437879585,0
1.053,0,0,0,0,0.338424164250428,0,0,0,0,0,0.107485104867717,0
1.054,0,0,0,0,0.338531382118033,0,0,0,0,0,0.106950602122197,0
1.055,0,0,0,0,0.338638065398376,0,0,0,0,0,0.106415930487078,0
1.056,0,0,0,0,0.338744213922992,0,0,0,0,0,0.105881090806679,0
1.057,0,0,0,0,0.338849827524256,0,0,0,0,0,0.105346083925585,0
1.058,0,0,0,0,0.338954906035391,0,0,0,0,0,0.104810910688645,0
1.059,0,0,0,0,0.339059449290463,0,0,0,0,0,0.104275571940972,0
1.06,0,0,0,0,0.339163457124384,0,0,0,0,0,0.103740068527937,0
1.061,0,0,0,0,0.339266929372912,0,0,0,0,0,0.103204401295173,0
1.062,0,0,0,0,0.33936986587265,0,0,0,0,0,0.102668571088573,0
1.063,0,0,0,0,0.339472266461047,0,0,0,0,0,0.102132578754285,0
1.064,0,0,0,0,0.339574130976398,0,0,0,0,0,0.101596425138715,0
1.065,0,0,0,0,0.339675459257846,0,0,0,0,0,0.101060111088521,0
1.066,0,0,0,0,0.339776251145379,0,0,0,0,0,0.100523637450618,0
1.067,0,0,0,0,0.339876506479834,0,0,0,0,0,0.0999870050721709,0
1.068,0,0,0,0,0.339976225102893,0,0,0,0,0,0.0994502148005944,0
1.069,0,0,0,0,0.340075406857087,0,0,0,0,0,0.0989132674835541,0
1.07,0,0,0,0,0.340174051585794,0,0,0,0,0,0.0983761639689632,0
1.071,0,0,0,0,0.340272159133241,0,0,0,0,0,0.0978389051049814,0
1.072,0,0,0,0,0.340369729344504,0,0,0,0,0,0.0973014917400137,0
1.073,0,0,0,0,0.340466762065504,0,0,0,0,0,0.0967639247227094,0
1.074,0,0,0,0,0.340563257143015,0,0,0,0,0,0.0962262049019599,0
1.075,0,0,0,0,0.340659214424656,0,0,0,0,0,0.0956883331268985,0
1.076,0,0,0,0,0.3407546337589,0,0,0,0,0,0.0951503102468977,0
1.077,0,0,0,0,0.340849514995065,0,0,0,0,0,0.0946121371115696,0
1.078,0,0,0,0,0.340943857983321,0,0,0,0,0,0.0940738145707627,0
1.079,0,0,0,0,0.341037662574688,0,0,0,0,0,0.093535343474562,0
1.08,0,0,0,0,0.341130928621035,0,0,0,0,0,0.0929967246732864,0
1.081,0,0,0,0,0.341223655975083,0,0,0,0,0,0.0924579590174891,0
1.082,0,0,0,0,0.341315844490402,0,0,0,0,0,0.0919190473579542,0
1.083,0,0,0,0,0.341407494021415,0,0,0,0,0,0.0913799905456971,0
1.084,0,0,0,0,0.341498604423393,0,0,0,0,0,0.0908407894319616,0
1.085,0,0,0,0,0.341589175552462,0,0,0,0,0,0.0903014448682203,0
1.086,0,0,0,0,0.341679207265597,0,0,0,0,0,0.0897619577061717,0
1.087,0,0,0,0,0.341768699420626,0,0,0,0,0,0.0892223287977398,0
1.088,0,0,0,0,0.341857651876228,0,0,0,0,0,0.088682558995072,0
1.089,0,0,0,0,0.341946064491935,0,0,0,0,0,0.088142649150539,0
1.09,0,0,0,0,0.342033937128132,0,0,0,0,0,0.0876026001167316,0
